Intrinsic name 	Technology 	Header 	Function prototype
_blsr_u32 	BMI 	ammintrin.h, immintrin.h 	unsigned int _blsr_u32(unsigned int);
_bzhi_u32 	BMI 	immintrin.h 	unsigned int _bzhi_u32(unsigned int, unsigned int);
_castf32_u32 		immintrin.h 	unsigned __int32 _castf32_u32 (float);
_castf64_u64 		immintrin.h 	unsigned __int64 _castf64_u64 (double);
_castu32_f32 		immintrin.h 	float _castu32_f32 (unsigned __int32);
_castu64_f64 		immintrin.h 	double _castu64_f64 (unsigned __int64 a);
__check_isa_support 		immintrin.h 	bool __check_isa_support(unsigned int, unsigned int);
__check_arch_support 		immintrin.h 	bool __check_arch_support(unsigned int, unsigned int);
_clac 	SMAP 	intrin.h 	void _clac(void);
__cpuid 		intrin.h 	void __cpuid(int *, int);
__cpuidex 		intrin.h 	void __cpuidex(int *, int, int);
__debugbreak 		intrin.h 	void __debugbreak(void);
_disable 		intrin.h 	void _disable(void);
_div64 		intrin.h 	int _div64(__int64, int, int *);
__emul 		intrin.h 	__int64 [pascal/cdecl] __emul(int, int);
__emulu 		intrin.h 	unsigned __int64 [pascal/cdecl]__emulu(unsigned int, unsigned int);
_enable 		intrin.h 	void _enable(void);
__fastfail 		intrin.h 	void __fastfail(unsigned int);
_fxrstor 	FXSR 	immintrin.h 	void _fxrstor(void const*);
_fxsave 	FXSR 	immintrin.h 	void _fxsave(void*);
__getcallerseflags 		intrin.h 	unsigned int __getcallerseflags();
__halt 		intrin.h 	void __halt(void);
__inbyte 		intrin.h 	unsigned char __inbyte(unsigned short);
__inbytestring 		intrin.h 	void __inbytestring(unsigned short, unsigned char *, unsigned long);
__incfsbyte 		intrin.h 	void __incfsbyte(unsigned long);
__incfsdword 		intrin.h 	void __incfsdword(unsigned long);
__incfsword 		intrin.h 	void __incfsword(unsigned long);
__indword 		intrin.h 	unsigned long __indword(unsigned short);
__indwordstring 		intrin.h 	void __indwordstring(unsigned short, unsigned long *, unsigned long);
__int2c 		intrin.h 	void __int2c(void);
_InterlockedAddLargeStatistic 		intrin.h 	long _InterlockedAddLargeStatistic(__int64 volatile *, long);
_InterlockedAnd 		intrin.h 	long _InterlockedAnd(long volatile *, long);
_InterlockedAnd_HLEAcquire 	HLE 	immintrin.h 	long _InterlockedAnd_HLEAcquire(long volatile *, long);
_InterlockedAnd_HLERelease 	HLE 	immintrin.h 	long _InterlockedAnd_HLERelease(long volatile *, long);
_InterlockedAnd16 		intrin.h 	short _InterlockedAnd16(short volatile *, short);
_InterlockedAnd8 		intrin.h 	char _InterlockedAnd8(char volatile *, char);
_interlockedbittestandreset 		intrin.h 	unsigned char _interlockedbittestandreset(long *, long);
_interlockedbittestandreset_HLEAcquire 	HLE 	immintrin.h 	unsigned char _interlockedbittestandreset_HLEAcquire(long *, long);
_interlockedbittestandreset_HLERelease 	HLE 	immintrin.h 	unsigned char _interlockedbittestandreset_HLERelease(long *, long);
_interlockedbittestandset 		intrin.h 	unsigned char _interlockedbittestandset(long *, long);
_interlockedbittestandset_HLEAcquire 	HLE 	immintrin.h 	unsigned char _interlockedbittestandset_HLEAcquire(long *, long);
_interlockedbittestandset_HLERelease 	HLE 	immintrin.h 	unsigned char _interlockedbittestandset_HLERelease(long *, long);
_InterlockedCompareExchange 		intrin.h 	long _InterlockedCompareExchange (long volatile *, long, long);
_InterlockedCompareExchange_HLEAcquire 	HLE 	immintrin.h 	long _InterlockedCompareExchange_HLEAcquire(long volatile *, long, long);
_InterlockedCompareExchange_HLERelease 	HLE 	immintrin.h 	long _InterlockedCompareExchange_HLERelease(long volatile *, long, long);
_InterlockedCompareExchange16 		intrin.h 	short _InterlockedCompareExchange16(short volatile *, short, short);
_InterlockedCompareExchange64 		intrin.h 	__int64 _InterlockedCompareExchange64(__int64 volatile *, __int64, __int64);
_InterlockedCompareExchange64_HLEAcquire 	HLE 	immintrin.h 	__int64 _InterlockedCompareExchange64_HLEAcquire(__int64 volatile *, __int64, __int64);
_InterlockedCompareExchange64_HLERelease 	HLE 	immintrin.h 	__int64 _InterlockedCompareExchange64_HLERelease(__int64 volatile *, __int64, __int64);
_InterlockedCompareExchange8 		intrin.h 	char _InterlockedCompareExchange8(char volatile *, char, char);
_InterlockedCompareExchangePointer 		intrin.h 	void *_InterlockedCompareExchangePointer (void *volatile *, void *, void *);
_InterlockedCompareExchangePointer_HLEAcquire 	HLE 	immintrin.h 	void *_InterlockedCompareExchangePointer_HLEAcquire(void *volatile *, void *, void *);
_InterlockedCompareExchangePointer_HLERelease 	HLE 	immintrin.h 	void *_InterlockedCompareExchangePointer_HLERelease(void *volatile *, void *, void *);
_InterlockedDecrement 		intrin.h 	long _InterlockedDecrement(long volatile *);
_InterlockedDecrement16 		intrin.h 	short _InterlockedDecrement16(short volatile *);
_InterlockedExchange 		intrin.h 	long _InterlockedExchange(long volatile *, long);
_InterlockedExchange_HLEAcquire 	HLE 	immintrin.h 	long _InterlockedExchange_HLEAcquire(long volatile *, long);
_InterlockedExchange_HLERelease 	HLE 	immintrin.h 	long _InterlockedExchange_HLERelease(long volatile *, long);
_InterlockedExchange16 		intrin.h 	short _InterlockedExchange16(short volatile *, short);
_InterlockedExchange8 		intrin.h 	char _InterlockedExchange8(char volatile *, char);
_InterlockedExchangeAdd 		intrin.h 	long _InterlockedExchangeAdd(long volatile *, long);
_InterlockedExchangeAdd_HLEAcquire 	HLE 	immintrin.h 	long _InterlockedExchangeAdd_HLEAcquire(long volatile *, long);
_InterlockedExchangeAdd_HLERelease 	HLE 	immintrin.h 	long _InterlockedExchangeAdd_HLERelease(long volatile *, long);
_InterlockedExchangeAdd16 		intrin.h 	short _InterlockedExchangeAdd16(short volatile *, short);
_InterlockedExchangeAdd8 		intrin.h 	char _InterlockedExchangeAdd8(char volatile *, char);
_InterlockedExchangePointer 		intrin.h 	void * _InterlockedExchangePointer(void *volatile *, void *);
_InterlockedExchangePointer_HLEAcquire 	HLE 	immintrin.h 	void * _InterlockedExchangePointer_HLEAcquire(void *volatile *, void *);
_InterlockedExchangePointer_HLERelease 	HLE 	immintrin.h 	void * _InterlockedExchangePointer_HLERelease(void *volatile *, void *);
_InterlockedIncrement 		intrin.h 	long _InterlockedIncrement(long volatile *);
_InterlockedIncrement16 		intrin.h 	short _InterlockedIncrement16(short volatile *);
_InterlockedOr 		intrin.h 	long _InterlockedOr(long volatile *, long);
_InterlockedOr_HLEAcquire 	HLE 	immintrin.h 	long _InterlockedOr_HLEAcquire(long volatile *, long);
_InterlockedOr_HLERelease 	HLE 	immintrin.h 	long _InterlockedOr_HLERelease(long volatile *, long);
_InterlockedOr16 		intrin.h 	short _InterlockedOr16(short volatile *, short);
_InterlockedOr8 		intrin.h 	char _InterlockedOr8(char volatile *, char);
_InterlockedXor 		intrin.h 	long _InterlockedXor(long volatile *, long);
_InterlockedXor_HLEAcquire 	HLE 	immintrin.h 	long _InterlockedXor_HLEAcquire(long volatile *, long);
_InterlockedXor_HLERelease 	HLE 	immintrin.h 	long _InterlockedXor_HLERelease(long volatile *, long);
_InterlockedXor16 		intrin.h 	short _InterlockedXor16(short volatile *, short);
_InterlockedXor8 		intrin.h 	char _InterlockedXor8(char volatile *, char);
__invlpg 		intrin.h 	void __invlpg(void*);
_invpcid 	INVPCID 	immintrin.h 	void _invpcid(unsigned int, void *);
__inword 		intrin.h 	unsigned short __inword(unsigned short);
__inwordstring 		intrin.h 	void __inwordstring(unsigned short, unsigned short *, unsigned long);
_lgdt 		intrin.h 	void _lgdt(void*);
__lidt 		intrin.h 	void __lidt(void*);
__ll_lshift 		intrin.h 	unsigned __int64 [pascal/cdecl] __ll_lshift(unsigned __int64, int);
__ll_rshift 		intrin.h 	__int64 [pascal/cdecl] __ll_rshift(__int64, int);
_loadbe_i16 	MOVBE 	immintrin.h 	short _loadbe_i16(void const*); [Macro]
_loadbe_i32 	MOVBE 	immintrin.h 	int _loadbe_i32(void const*); [Macro]
_load_be_u16 	MOVBE 	immintrin.h 	unsigned short _load_be_u16(void const*); [Macro]
_load_be_u32 	MOVBE 	immintrin.h 	unsigned int _load_be_u32(void const*); [Macro]
__llwpcb 	LWP 	ammintrin.h 	void __llwpcb(void *);
__lwpins32 	LWP 	ammintrin.h 	unsigned char __lwpins32(unsigned int, unsigned int, unsigned int);
__lwpval32 	LWP 	ammintrin.h 	void __lwpval32(unsigned int, unsigned int, unsigned int);
__lzcnt 	LZCNT 	intrin.h 	unsigned int __lzcnt(unsigned int);
_lzcnt_u32 	BMI 	ammintrin.h, immintrin.h 	unsigned int _lzcnt_u32(unsigned int);
__lzcnt16 	LZCNT 	intrin.h 	unsigned short __lzcnt16(unsigned short);
_m_empty 	MMX 	intrin.h 	void _m_empty(void);
_m_femms 	3DNOW 	intrin.h 	void _m_femms(void);
_m_from_float 	3DNOW 	intrin.h 	__m64 _m_from_float(float);
_m_from_int 	MMX 	intrin.h 	__m64 _m_from_int(int);
_m_maskmovq 	SSE 	intrin.h 	void _m_maskmovq(__m64, __m64, char*);
_m_packssdw 	MMX 	intrin.h 	__m64 _m_packssdw(__m64, __m64);
_m_packsswb 	MMX 	intrin.h 	__m64 _m_packsswb(__m64, __m64);
_m_packuswb 	MMX 	intrin.h 	__m64 _m_packuswb(__m64, __m64);
_m_paddb 	MMX 	intrin.h 	__m64 _m_paddb(__m64, __m64);
_m_paddd 	MMX 	intrin.h 	__m64 _m_paddd(__m64, __m64);
_m_paddsb 	MMX 	intrin.h 	__m64 _m_paddsb(__m64, __m64);
_m_paddsw 	MMX 	intrin.h 	__m64 _m_paddsw(__m64, __m64);
_m_paddusb 	MMX 	intrin.h 	__m64 _m_paddusb(__m64, __m64);
_m_paddusw 	MMX 	intrin.h 	__m64 _m_paddusw(__m64, __m64);
_m_paddw 	MMX 	intrin.h 	__m64 _m_paddw(__m64, __m64);
_m_pand 	MMX 	intrin.h 	__m64 _m_pand(__m64, __m64);
_m_pandn 	MMX 	intrin.h 	__m64 _m_pandn(__m64, __m64);
_m_pavgb 	SSE 	intrin.h 	__m64 _m_pavgb(__m64, __m64);
_m_pavgusb 	3DNOW 	intrin.h 	__m64 _m_pavgusb(__m64, __m64);
_m_pavgw 	SSE 	intrin.h 	__m64 _m_pavgw(__m64, __m64);
_m_pcmpeqb 	MMX 	intrin.h 	__m64 _m_pcmpeqb(__m64, __m64);
_m_pcmpeqd 	MMX 	intrin.h 	__m64 _m_pcmpeqd(__m64, __m64);
_m_pcmpeqw 	MMX 	intrin.h 	__m64 _m_pcmpeqw(__m64, __m64);
_m_pcmpgtb 	MMX 	intrin.h 	__m64 _m_pcmpgtb(__m64, __m64);
_m_pcmpgtd 	MMX 	intrin.h 	__m64 _m_pcmpgtd(__m64, __m64);
_m_pcmpgtw 	MMX 	intrin.h 	__m64 _m_pcmpgtw(__m64, __m64);
_m_pextrw 	SSE 	intrin.h 	int _m_pextrw(__m64, int);
_m_pf2id 	3DNOW 	intrin.h 	__m64 _m_pf2id(__m64);
_m_pf2iw 	3DNOWEXT 	intrin.h 	__m64 _m_pf2iw(__m64);
_m_pfacc 	3DNOW 	intrin.h 	__m64 _m_pfacc(__m64, __m64);
_m_pfadd 	3DNOW 	intrin.h 	__m64 _m_pfadd(__m64, __m64);
_m_pfcmpeq 	3DNOW 	intrin.h 	__m64 _m_pfcmpeq(__m64, __m64);
_m_pfcmpge 	3DNOW 	intrin.h 	__m64 _m_pfcmpge(__m64, __m64);
_m_pfcmpgt 	3DNOW 	intrin.h 	__m64 _m_pfcmpgt(__m64, __m64);
_m_pfmax 	3DNOW 	intrin.h 	__m64 _m_pfmax(__m64, __m64);
_m_pfmin 	3DNOW 	intrin.h 	__m64 _m_pfmin(__m64, __m64);
_m_pfmul 	3DNOW 	intrin.h 	__m64 _m_pfmul(__m64, __m64);
_m_pfnacc 	3DNOWEXT 	intrin.h 	__m64 _m_pfnacc(__m64, __m64);
_m_pfpnacc 	3DNOWEXT 	intrin.h 	__m64 _m_pfpnacc(__m64, __m64);
_m_pfrcp 	3DNOW 	intrin.h 	__m64 _m_pfrcp(__m64);
_m_pfrcpit1 	3DNOW 	intrin.h 	__m64 _m_pfrcpit1(__m64, __m64);
_m_pfrcpit2 	3DNOW 	intrin.h 	__m64 _m_pfrcpit2(__m64, __m64);
_m_pfrsqit1 	3DNOW 	intrin.h 	__m64 _m_pfrsqit1(__m64, __m64);
_m_pfrsqrt 	3DNOW 	intrin.h 	__m64 _m_pfrsqrt(__m64);
_m_pfsub 	3DNOW 	intrin.h 	__m64 _m_pfsub(__m64, __m64);
_m_pfsubr 	3DNOW 	intrin.h 	__m64 _m_pfsubr(__m64, __m64);
_m_pi2fd 	3DNOW 	intrin.h 	__m64 _m_pi2fd(__m64);
_m_pi2fw 	3DNOWEXT 	intrin.h 	__m64 _m_pi2fw(__m64);
_m_pinsrw 	SSE 	intrin.h 	__m64 _m_pinsrw(__m64, int, int);
_m_pmaddwd 	MMX 	intrin.h 	__m64 _m_pmaddwd(__m64, __m64);
_m_pmaxsw 	SSE 	intrin.h 	__m64 _m_pmaxsw(__m64, __m64);
_m_pmaxub 	SSE 	intrin.h 	__m64 _m_pmaxub(__m64, __m64);
_m_pminsw 	SSE 	intrin.h 	__m64 _m_pminsw(__m64, __m64);
_m_pminub 	SSE 	intrin.h 	__m64 _m_pminub(__m64, __m64);
_m_pmovmskb 	SSE 	intrin.h 	int _m_pmovmskb(__m64);
_m_pmulhrw 	3DNOW 	intrin.h 	__m64 _m_pmulhrw(__m64, __m64);
_m_pmulhuw 	SSE 	intrin.h 	__m64 _m_pmulhuw(__m64, __m64);
_m_pmulhw 	MMX 	intrin.h 	__m64 _m_pmulhw(__m64, __m64);
_m_pmullw 	MMX 	intrin.h 	__m64 _m_pmullw(__m64, __m64);
_m_por 	MMX 	intrin.h 	__m64 _m_por(__m64, __m64);
_m_prefetch 	3DNOW 	intrin.h 	void _m_prefetch(void*);
_m_prefetchw 	3DNOW 	intrin.h 	void _m_prefetchw(void*);
_m_psadbw 	SSE 	intrin.h 	__m64 _m_psadbw(__m64, __m64);
_m_pshufw 	SSE 	intrin.h 	__m64 _m_pshufw(__m64, int);
_m_pslld 	MMX 	intrin.h 	__m64 _m_pslld(__m64, __m64);
_m_pslldi 	MMX 	intrin.h 	__m64 _m_pslldi(__m64, int);
_m_psllq 	MMX 	intrin.h 	__m64 _m_psllq(__m64, __m64);
_m_psllqi 	MMX 	intrin.h 	__m64 _m_psllqi(__m64, int);
_m_psllw 	MMX 	intrin.h 	__m64 _m_psllw(__m64, __m64);
_m_psllwi 	MMX 	intrin.h 	__m64 _m_psllwi(__m64, int);
_m_psrad 	MMX 	intrin.h 	__m64 _m_psrad(__m64, __m64);
_m_psradi 	MMX 	intrin.h 	__m64 _m_psradi(__m64, int);
_m_psraw 	MMX 	intrin.h 	__m64 _m_psraw(__m64, __m64);
_m_psrawi 	MMX 	intrin.h 	__m64 _m_psrawi(__m64, int);
_m_psrld 	MMX 	intrin.h 	__m64 _m_psrld(__m64, __m64);
_m_psrldi 	MMX 	intrin.h 	__m64 _m_psrldi(__m64, int);
_m_psrlq 	MMX 	intrin.h 	__m64 _m_psrlq(__m64, __m64);
_m_psrlqi 	MMX 	intrin.h 	__m64 _m_psrlqi(__m64, int);
_m_psrlw 	MMX 	intrin.h 	__m64 _m_psrlw(__m64, __m64);
_m_psrlwi 	MMX 	intrin.h 	__m64 _m_psrlwi(__m64, int);
_m_psubb 	MMX 	intrin.h 	__m64 _m_psubb(__m64, __m64);
_m_psubd 	MMX 	intrin.h 	__m64 _m_psubd(__m64, __m64);
_m_psubsb 	MMX 	intrin.h 	__m64 _m_psubsb(__m64, __m64);
_m_psubsw 	MMX 	intrin.h 	__m64 _m_psubsw(__m64, __m64);
_m_psubusb 	MMX 	intrin.h 	__m64 _m_psubusb(__m64, __m64);
_m_psubusw 	MMX 	intrin.h 	__m64 _m_psubusw(__m64, __m64);
_m_psubw 	MMX 	intrin.h 	__m64 _m_psubw(__m64, __m64);
_m_pswapd 	3DNOWEXT 	intrin.h 	__m64 _m_pswapd(__m64);
_m_punpckhbw 	MMX 	intrin.h 	__m64 _m_punpckhbw(__m64, __m64);
_m_punpckhdq 	MMX 	intrin.h 	__m64 _m_punpckhdq(__m64, __m64);
_m_punpckhwd 	MMX 	intrin.h 	__m64 _m_punpckhwd(__m64, __m64);
_m_punpcklbw 	MMX 	intrin.h 	__m64 _m_punpcklbw(__m64, __m64);
_m_punpckldq 	MMX 	intrin.h 	__m64 _m_punpckldq(__m64, __m64);
_m_punpcklwd 	MMX 	intrin.h 	__m64 _m_punpcklwd(__m64, __m64);
_m_pxor 	MMX 	intrin.h 	__m64 _m_pxor(__m64, __m64);
_m_to_float 	3DNOW 	intrin.h 	float _m_to_float(__m64);
_m_to_int 	MMX 	intrin.h 	int _m_to_int(__m64);
_mm_abs_epi16 	SSSE3 	intrin.h 	__m128i _mm_abs_epi16(__m128i);
_mm_abs_epi32 	SSSE3 	intrin.h 	__m128i _mm_abs_epi32(__m128i);
_mm_abs_epi8 	SSSE3 	intrin.h 	__m128i _mm_abs_epi8(__m128i);
_mm_abs_pi16 	SSSE3 	intrin.h 	__m64 _mm_abs_pi16(__m64);
_mm_abs_pi32 	SSSE3 	intrin.h 	__m64 _mm_abs_pi32(__m64);
_mm_abs_pi8 	SSSE3 	intrin.h 	__m64 _mm_abs_pi8(__m64);
_mm_add_epi16 	SSE2 	intrin.h 	__m128i _mm_add_epi16(__m128i, __m128i);
_mm_add_epi32 	SSE2 	intrin.h 	__m128i _mm_add_epi32(__m128i, __m128i);
_mm_add_epi64 	SSE2 	intrin.h 	__m128i _mm_add_epi64(__m128i, __m128i);
_mm_add_epi8 	SSE2 	intrin.h 	__m128i _mm_add_epi8(__m128i, __m128i);
_mm_add_pd 	SSE2 	intrin.h 	__m128d _mm_add_pd(__m128d, __m128d);
_mm_add_pi8 	MMX 	mmintrin.h 	__m64 _mm_add_pi8(__m64, __m64); [Macro]
_mm_add_pi16 	MMX 	mmintrin.h 	__m64 _mm_add_pi16(__m64, __m64); [Macro]
_mm_add_pi32 	MMX 	mmintrin.h 	__m64 _mm_add_pi32(__m64, __m64); [Macro]
_mm_add_ps 	SSE 	intrin.h 	__m128 _mm_add_ps(__m128, __m128);
_mm_add_sd 	SSE2 	intrin.h 	__m128d _mm_add_sd(__m128d, __m128d);
_mm_add_si64 	SSE2 	intrin.h 	__m64 _mm_add_si64(__m64, __m64);
_mm_add_ss 	SSE 	intrin.h 	__m128 _mm_add_ss(__m128, __m128);
_mm_adds_epi16 	SSE2 	intrin.h 	__m128i _mm_adds_epi16(__m128i, __m128i);
_mm_adds_epi8 	SSE2 	intrin.h 	__m128i _mm_adds_epi8(__m128i, __m128i);
_mm_adds_epu16 	SSE2 	intrin.h 	__m128i _mm_adds_epu16(__m128i, __m128i);
_mm_adds_epu8 	SSE2 	intrin.h 	__m128i _mm_adds_epu8(__m128i, __m128i);
_mm_adds_pi8 	MMX 	mmintrin.h 	__m64 _mm_adds_pi8(__m64, __m64); [Macro]
_mm_adds_pi16 	MMX 	mmintrin.h 	__m64 _mm_adds_pi16(__m64, __m64); [Macro]
_mm_adds_pu8 	MMX 	mmintrin.h 	__m64 _mm_adds_pu8(__m64, __m64); [Macro]
_mm_adds_pu16 	MMX 	mmintrin.h 	__m64 _mm_adds_pu16(__m64, __m64); [Macro]
_mm_addsub_pd 	SSE3 	intrin.h 	__m128d _mm_addsub_pd(__m128d, __m128d);
_mm_addsub_ps 	SSE3 	intrin.h 	__m128 _mm_addsub_ps(__m128, __m128);
_mm_aesdec_si128 	AESNI 	immintrin.h 	__m128i _mm_aesdec_si128(__m128i, __m128i);
_mm_aesdeclast_si128 	AESNI 	immintrin.h 	__m128i _mm_aesdeclast_si128(__m128i, __m128i);
_mm_aesenc_si128 	AESNI 	immintrin.h 	__m128i _mm_aesenc_si128(__m128i, __m128i);
_mm_aesenclast_si128 	AESNI 	immintrin.h 	__m128i _mm_aesenclast_si128(__m128i, __m128i);
_mm_aesimc_si128 	AESNI 	immintrin.h 	__m128i _mm_aesimc_si128 (__m128i);
_mm_aeskeygenassist_si128 	AESNI 	immintrin.h 	__m128i _mm_aeskeygenassist_si128 (__m128i, const int);
_mm_alignr_epi8 	SSSE3 	intrin.h 	__m128i _mm_alignr_epi8(__m128i, __m128i, int);
_mm_alignr_pi8 	SSSE3 	intrin.h 	__m64 _mm_alignr_pi8(__m64, __m64, int);
_mm_and_pd 	SSE2 	intrin.h 	__m128d _mm_and_pd(__m128d, __m128d);
_mm_and_ps 	SSE 	intrin.h 	__m128 _mm_and_ps(__m128, __m128);
_mm_and_si64 	MMX 	mmintrin.h 	__m64 _mm_and_si64(__m64, __m64); [Macro]
_mm_and_si128 	SSE2 	intrin.h 	__m128i _mm_and_si128(__m128i, __m128i);
_mm_andnot_pd 	SSE2 	intrin.h 	__m128d _mm_andnot_pd(__m128d, __m128d);
_mm_andnot_ps 	SSE 	intrin.h 	__m128 _mm_andnot_ps(__m128, __m128);
_mm_andnot_si64 	MMX 	mmintrin.h 	__m64 _mm_andnot_si64(__m64, __m64); [Macro]
_mm_andnot_si128 	SSE2 	intrin.h 	__m128i _mm_andnot_si128(__m128i, __m128i);
_mm_avg_epu16 	SSE2 	intrin.h 	__m128i _mm_avg_epu16(__m128i, __m128i);
_mm_avg_epu8 	SSE2 	intrin.h 	__m128i _mm_avg_epu8(__m128i, __m128i);
_mm_blend_epi16 	SSE41 	intrin.h 	__m128i _mm_blend_epi16 (__m128i, __m128i, const int);
_mm_blend_epi32 	AVX2 	immintrin.h 	__m128i _mm_blend_epi32(__m128i, __m128i, const int);
_mm_blend_pd 	SSE41 	intrin.h 	__m128d _mm_blend_pd (__m128d, __m128d, const int);
_mm_blend_ps 	SSE41 	intrin.h 	__m128 _mm_blend_ps (__m128, __m128, const int);
_mm_blendv_epi8 	SSE41 	intrin.h 	__m128i _mm_blendv_epi8 (__m128i, __m128i, __m128i);
_mm_blendv_pd 	SSE41 	intrin.h 	__m128d _mm_blendv_pd(__m128d, __m128d, __m128d);
_mm_blendv_ps 	SSE41 	intrin.h 	__m128 _mm_blendv_ps(__m128, __m128, __m128);
_mm_broadcast_ss 	AVX 	immintrin.h 	__m128 _mm_broadcast_ss(float const *);
_mm_broadcastb_epi8 	AVX2 	immintrin.h 	__m128i _mm_broadcastb_epi8(__m128i);
_mm_broadcastd_epi32 	AVX2 	immintrin.h 	__m128i _mm_broadcastd_epi32(__m128i);
_mm_broadcastq_epi64 	AVX2 	immintrin.h 	__m128i _mm_broadcastq_epi64(__m128i);
_mm_broadcastsd_pd 	AVX2 	immintrin.h 	__m128d _mm_broadcastsd_pd(__m128d);
_mm_broadcastss_ps 	AVX2 	immintrin.h 	__m128 _mm_broadcastss_ps(__m128);
_mm_broadcastw_epi16 	AVX2 	immintrin.h 	__m128i _mm_broadcastw_epi16(__m128i);
_mm_castpd_ps 	SSSE3 	intrin.h 	__m128 _mm_castpd_ps(__m128d);
_mm_castpd_si128 	SSSE3 	intrin.h 	__m128i _mm_castpd_si128(__m128d);
_mm_castps_pd 	SSSE3 	intrin.h 	__m128d _mm_castps_pd(__m128);
_mm_castps_si128 	SSSE3 	intrin.h 	__m128i _mm_castps_si128(__m128);
_mm_castsi128_pd 	SSSE3 	intrin.h 	__m128d _mm_castsi128_pd(__m128i);
_mm_castsi128_ps 	SSSE3 	intrin.h 	__m128 _mm_castsi128_ps(__m128i);
_mm_clflush 	SSE2 	intrin.h 	void _mm_clflush(void const *);
_mm_clmulepi64_si128 	PCLMULQDQ 	immintrin.h 	__m128i _mm_clmulepi64_si128 (__m128i, __m128i, const int);
_mm_cmov_si128 	XOP 	ammintrin.h 	__m128i _mm_cmov_si128(__m128i, __m128i, __m128i);
_mm_cmp_pd 	AVX 	immintrin.h 	__m128d _mm_cmp_pd(__m128d, __m128d, const int);
_mm_cmp_ps 	AVX 	immintrin.h 	__m128 _mm_cmp_ps(__m128, __m128, const int);
_mm_cmp_sd 	AVX 	immintrin.h 	__m128d _mm_cmp_sd(__m128d, __m128d, const int);
_mm_cmp_ss 	AVX 	immintrin.h 	__m128 _mm_cmp_ss(__m128, __m128, const int);
_mm_cmpeq_epi16 	SSE2 	intrin.h 	__m128i _mm_cmpeq_epi16(__m128i, __m128i);
_mm_cmpeq_epi32 	SSE2 	intrin.h 	__m128i _mm_cmpeq_epi32(__m128i, __m128i);
_mm_cmpeq_epi64 	SSE41 	intrin.h 	__m128i _mm_cmpeq_epi64(__m128i, __m128i);
_mm_cmpeq_epi8 	SSE2 	intrin.h 	__m128i _mm_cmpeq_epi8(__m128i, __m128i);
_mm_cmpeq_pd 	SSE2 	intrin.h 	__m128d _mm_cmpeq_pd(__m128d, __m128d);
_mm_cmpeq_pi8 	MMX 	mmintrin.h 	__m64 _mm_cmpeq_pi8(__m64, __m64); [Macro]
_mm_cmpeq_pi16 	MMX 	mmintrin.h 	__m64 _mm_cmpeq_pi16(__m64, __m64); [Macro]
_mm_cmpeq_pi32 	MMX 	mmintrin.h 	__m64 _mm_cmpeq_pi32(__m64, __m64); [Macro]
_mm_cmpeq_ps 	SSE 	intrin.h 	__m128 _mm_cmpeq_ps(__m128, __m128);
_mm_cmpeq_sd 	SSE2 	intrin.h 	__m128d _mm_cmpeq_sd(__m128d, __m128d);
